configuration,method,drift_type,distribution,replications,TP,FP,FN,FDR,MDR,IR,mean_delay
KSWIN,kswin,abrupt,all,3000,0,3000,0,1.0,,0.0,
KSWIN,kswin,abrupt,exponential,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,abrupt,gamma,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,abrupt,normal,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,all,all,9000,0,9000,0,1.0,,0.0,
KSWIN,kswin,gradual,all,3000,0,3000,0,1.0,,0.0,
KSWIN,kswin,gradual,exponential,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,gradual,gamma,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,gradual,normal,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,incremental,all,3000,0,3000,0,1.0,,0.0,
KSWIN,kswin,incremental,exponential,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,incremental,gamma,1000,0,1000,0,1.0,,0.0,
KSWIN,kswin,incremental,normal,1000,0,1000,0,1.0,,0.0,
LORD-LD,lord,abrupt,all,3000,2454,4,542,0.0016273393002441008,0.18090787716955942,0.9983726606997559,994.6210268948655
LORD-LD,lord,abrupt,exponential,1000,570,1,429,0.0017513134851138354,0.4294294294294294,0.9982486865148862,1371.578947368421
LORD-LD,lord,abrupt,gamma,1000,928,2,70,0.002150537634408602,0.07014028056112225,0.9978494623655914,896.9827586206897
LORD-LD,lord,abrupt,normal,1000,956,1,43,0.0010449320794148381,0.043043043043043044,0.9989550679205852,864.6443514644351
LORD-LD,lord,all,all,9000,5783,10,3207,0.0017262213015708614,0.35672969966629586,0.9982737786984291,1332.2496973888985
LORD-LD,lord,gradual,all,3000,1655,4,1341,0.0024110910186859553,0.44759679572763683,0.997588908981314,1675.5287009063445
LORD-LD,lord,gradual,exponential,1000,203,1,796,0.004901960784313725,0.7967967967967968,0.9950980392156863,2286.6995073891626
LORD-LD,lord,gradual,gamma,1000,697,1,302,0.0014326647564469914,0.3023023023023023,0.998567335243553,1621.2338593974175
LORD-LD,lord,gradual,normal,1000,755,2,243,0.002642007926023778,0.24348697394789579,0.9973579920739762,1561.3245033112582
LORD-LD,lord,incremental,all,3000,1674,2,1324,0.0011933174224343676,0.4416277518345564,0.9988066825775657,1487.8136200716847
LORD-LD,lord,incremental,exponential,1000,192,0,808,0.0,0.808,1.0,2215.625
LORD-LD,lord,incremental,gamma,1000,713,1,286,0.0014005602240896359,0.2862862862862863,0.9985994397759104,1414.3057503506311
LORD-LD,lord,incremental,normal,1000,769,1,230,0.0012987012987012987,0.23023023023023023,0.9987012987012988,1374.2522756827047
MCDD-G20k,mcdd,abrupt,all,3000,2483,326,191,0.11605553577785689,0.07142857142857142,0.8839444642221431,619.4925493354813
MCDD-G20k,mcdd,abrupt,exponential,1000,723,106,171,0.1278648974668275,0.1912751677852349,0.8721351025331725,1016.597510373444
MCDD-G20k,mcdd,abrupt,gamma,1000,865,121,14,0.12271805273833672,0.015927189988623434,0.8772819472616633,474.6820809248555
MCDD-G20k,mcdd,abrupt,normal,1000,895,99,6,0.09959758551307847,0.006659267480577136,0.9004024144869215,438.659217877095
MCDD-G20k,mcdd,all,all,9000,6492,1053,1455,0.13956262425447316,0.1830879577198943,0.8604373757455268,1035.4898336414049
MCDD-G20k,mcdd,gradual,all,3000,2001,364,635,0.15391120507399578,0.24089529590288317,0.8460887949260042,1407.7961019490256
MCDD-G20k,mcdd,gradual,exponential,1000,414,131,455,0.24036697247706423,0.523590333716916,0.7596330275229358,1773.9130434782608
MCDD-G20k,mcdd,gradual,gamma,1000,784,118,98,0.13082039911308205,0.1111111111111111,0.8691796008869179,1319.642857142857
MCDD-G20k,mcdd,gradual,normal,1000,803,115,82,0.12527233115468409,0.09265536723163842,0.8747276688453159,1305.1058530510586
MCDD-G20k,mcdd,incremental,all,3000,2008,363,629,0.1530999578237031,0.2385286310200986,0.8469000421762969,1178.8844621513945
MCDD-G20k,mcdd,incremental,exponential,1000,423,117,460,0.21666666666666667,0.5209513023782559,0.7833333333333333,1617.0212765957447
MCDD-G20k,mcdd,incremental,gamma,1000,782,125,93,0.1378169790518192,0.10628571428571429,0.8621830209481808,1081.5856777493607
MCDD-G20k,mcdd,incremental,normal,1000,803,121,76,0.13095238095238096,0.08646188850967008,0.8690476190476191,1042.8393524283936
MCDD-G20kT,mcdd,abrupt,all,3000,2452,257,291,0.09486895533407161,0.1060882245716369,0.9051310446659284,415.3344208809135
MCDD-G20kT,mcdd,abrupt,exponential,1000,669,86,245,0.11390728476821192,0.26805251641137856,0.8860927152317881,697.7578475336323
MCDD-G20kT,mcdd,abrupt,gamma,1000,885,84,31,0.08668730650154799,0.03384279475982533,0.913312693498452,311.1864406779661
MCDD-G20kT,mcdd,abrupt,normal,1000,898,87,15,0.0883248730964467,0.01642935377875137,0.9116751269035533,307.57238307349667
MCDD-G20kT,mcdd,all,all,9000,6874,775,1351,0.10132043404366584,0.16425531914893618,0.8986795659563341,887.3727087576375
MCDD-G20kT,mcdd,gradual,all,3000,2224,254,522,0.10250201775625505,0.19009468317552805,0.897497982243745,1250.5395683453237
MCDD-G20kT,mcdd,gradual,exponential,1000,514,80,406,0.13468013468013468,0.44130434782608696,0.8653198653198653,1520.2334630350194
MCDD-G20kT,mcdd,gradual,gamma,1000,840,92,68,0.09871244635193133,0.07488986784140969,0.9012875536480687,1183.5714285714287
MCDD-G20kT,mcdd,gradual,normal,1000,870,82,48,0.0861344537815126,0.05228758169934641,0.9138655462184874,1155.8620689655172
MCDD-G20kT,mcdd,incremental,all,3000,2198,264,538,0.10722989439480098,0.1966374269005848,0.892770105605199,1046.4968152866243
MCDD-G20kT,mcdd,incremental,exponential,1000,496,86,418,0.14776632302405499,0.4573304157549234,0.852233676975945,1409.6774193548388
MCDD-G20kT,mcdd,incremental,gamma,1000,839,95,66,0.10171306209850108,0.07292817679558011,0.8982869379014989,964.4815256257449
MCDD-G20kT,mcdd,incremental,normal,1000,863,83,54,0.08773784355179703,0.05888767720828789,0.912262156448203,917.4971031286211
MCDD-G30k,mcdd,abrupt,all,3000,2448,312,240,0.11304347826086956,0.08928571428571429,0.8869565217391304,679.4117647058823
MCDD-G30k,mcdd,abrupt,exponential,1000,696,97,207,0.1223203026481715,0.2292358803986711,0.8776796973518285,1094.8275862068965
MCDD-G30k,mcdd,abrupt,gamma,1000,866,111,23,0.11361310133060389,0.025871766029246346,0.8863868986693961,536.7205542725173
MCDD-G30k,mcdd,abrupt,normal,1000,886,104,10,0.10505050505050505,0.011160714285714286,0.8949494949494949,492.5507900677201
MCDD-G30k,mcdd,all,all,9000,6324,980,1696,0.13417305585980285,0.2114713216957606,0.8658269441401971,1096.2998102466793
MCDD-G30k,mcdd,gradual,all,3000,1933,329,738,0.14544650751547303,0.2763010108573568,0.8545534924845269,1466.1148473874805
MCDD-G30k,mcdd,gradual,exponential,1000,365,112,523,0.2348008385744235,0.588963963963964,0.7651991614255765,1893.150684931507
MCDD-G30k,mcdd,gradual,gamma,1000,780,102,118,0.11564625850340136,0.13140311804008908,0.8843537414965986,1370.7692307692307
MCDD-G30k,mcdd,gradual,normal,1000,788,115,97,0.1273532668881506,0.1096045197740113,0.8726467331118494,1362.6903553299492
MCDD-G30k,mcdd,incremental,all,3000,1943,339,718,0.1485539000876424,0.26982337467117623,0.8514460999123575,1253.628409675759
MCDD-G30k,mcdd,incremental,exponential,1000,377,110,513,0.22587268993839835,0.5764044943820225,0.7741273100616016,1783.5543766578248
MCDD-G30k,mcdd,incremental,gamma,1000,773,112,115,0.12655367231638417,0.12950450450450451,0.8734463276836159,1143.8551099611902
